wavelength_nm,absorbance
400.00,0.318500
401.03,0.327621
402.05,0.332112
403.08,0.325272
404.10,0.309563
405.13,0.317743
406.16,0.321904
407.18,0.320989
408.21,0.322124
409.23,0.315568
410.26,0.317596
411.28,0.308543
412.31,0.334070
413.34,0.322259
414.36,0.330686
415.39,0.328694
416.41,0.324802
417.44,0.322055
418.47,0.328712
419.49,0.323947
420.52,0.324683
421.54,0.328505
422.57,0.335175
423.60,0.333570
424.62,0.328155
425.65,0.333243
426.67,0.328814
427.70,0.316009
428.72,0.327771
429.75,0.314331
430.78,0.343839
431.80,0.341698
432.83,0.344677
433.85,0.324767
434.88,0.335893
435.91,0.339899
436.93,0.319947
437.96,0.332807
438.98,0.337968
440.01,0.332591
441.04,0.332460
442.06,0.335290
443.09,0.328802
444.11,0.326384
445.14,0.339062
446.17,0.338345
447.19,0.327958
448.22,0.332116
449.24,0.336115
450.27,0.326578
451.29,0.351427
452.32,0.345387
453.35,0.347941
454.37,0.333253
455.40,0.350705
456.42,0.337844
457.45,0.330760
458.48,0.350993
459.50,0.331724
460.53,0.340375
461.55,0.347296
462.58,0.348476
463.61,0.359451
464.63,0.354058
465.66,0.331310
466.68,0.338778
467.71,0.341076
468.73,0.348128
469.76,0.343701
470.79,0.347074
471.81,0.331275
472.84,0.358107
473.86,0.344895
474.89,0.340125
475.92,0.346425
476.94,0.351301
477.97,0.348515
478.99,0.338999
480.02,0.360731
481.05,0.348619
482.07,0.346621
483.10,0.352338
484.12,0.353410
485.15,0.356925
486.17,0.368028
487.20,0.338061
488.23,0.353478
489.25,0.349574
490.28,0.354528
491.30,0.359613
492.33,0.360972
493.36,0.348722
494.38,0.348070
495.41,0.361577
496.43,0.361385
497.46,0.355562
498.49,0.364690
499.51,0.352678
500.54,0.351966
501.56,0.356410
502.59,0.350376
503.62,0.350330
504.64,0.362669
505.67,0.377795
506.69,0.365228
507.72,0.375753
508.74,0.363950
509.77,0.363949
510.80,0.352161
511.82,0.374719
512.85,0.370287
513.87,0.378013
514.90,0.378177
515.93,0.368571
516.95,0.373057
517.98,0.359579
519.00,0.369834
520.03,0.360659
521.06,0.363271
522.08,0.374300
523.11,0.367228
524.13,0.377553
525.16,0.356473
526.18,0.363329
527.21,0.369695
528.24,0.386306
529.26,0.378389
530.29,0.374765
531.31,0.367451
532.34,0.364799
533.37,0.377121
534.39,0.374478
535.42,0.376952
536.44,0.361072
537.47,0.369343
538.50,0.384928
539.52,0.371183
540.55,0.375446
541.57,0.382872
542.60,0.381531
543.62,0.386696
544.65,0.370702
545.68,0.388032
546.70,0.368996
547.73,0.389949
548.75,0.376214
549.78,0.383317
550.81,0.385516
551.83,0.380191
552.86,0.381680
553.88,0.375902
554.91,0.372501
555.94,0.370403
556.96,0.359151
557.99,0.391828
559.01,0.381917
560.04,0.376526
561.06,0.384238
562.09,0.398828
563.12,0.373686
564.14,0.398878
565.17,0.390081
