wavelength_nm,absorbance
400.00,0.285283
401.03,0.279040
402.05,0.286241
403.08,0.277295
404.10,0.284441
405.13,0.284382
406.16,0.277469
407.18,0.289231
408.21,0.274553
409.23,0.274066
410.26,0.282952
411.28,0.283395
412.31,0.297613
413.34,0.283866
414.36,0.300308
415.39,0.287941
416.41,0.285986
417.44,0.294118
418.47,0.289681
419.49,0.292851
420.52,0.285408
421.54,0.292863
422.57,0.293641
423.60,0.283164
424.62,0.290627
425.65,0.277581
426.67,0.294326
427.70,0.285800
428.72,0.293257
429.75,0.292632
430.78,0.308566
431.80,0.284388
432.83,0.280951
433.85,0.297938
434.88,0.294900
435.91,0.325934
436.93,0.297762
437.96,0.293018
438.98,0.274018
440.01,0.300894
441.04,0.287578
442.06,0.305946
443.09,0.302546
444.11,0.305268
445.14,0.315906
446.17,0.316273
447.19,0.313649
448.22,0.303098
449.24,0.300808
450.27,0.314886
451.29,0.310913
452.32,0.300719
453.35,0.302714
454.37,0.295778
455.40,0.299053
456.42,0.307039
457.45,0.293689
458.48,0.298791
459.50,0.302068
460.53,0.301122
461.55,0.299031
462.58,0.311000
463.61,0.297614
464.63,0.317049
465.66,0.310227
466.68,0.326124
467.71,0.322400
468.73,0.312820
469.76,0.296247
470.79,0.306410
471.81,0.309569
472.84,0.306949
473.86,0.321231
474.89,0.307738
475.92,0.329288
476.94,0.296744
477.97,0.313384
478.99,0.307082
480.02,0.322624
481.05,0.321191
482.07,0.310439
483.10,0.314855
484.12,0.315788
485.15,0.314996
486.17,0.329246
487.20,0.320149
488.23,0.332316
489.25,0.311606
490.28,0.304744
491.30,0.328234
492.33,0.315224
493.36,0.317569
494.38,0.311053
495.41,0.330858
496.43,0.328622
497.46,0.321441
498.49,0.320914
499.51,0.295458
500.54,0.330628
501.56,0.323174
502.59,0.322695
503.62,0.330345
504.64,0.330943
505.67,0.325966
506.69,0.328492
507.72,0.316971
508.74,0.339632
509.77,0.337409
510.80,0.346996
511.82,0.333267
512.85,0.325493
513.87,0.330578
514.90,0.331694
515.93,0.327425
516.95,0.332223
517.98,0.326114
519.00,0.337399
520.03,0.331750
521.06,0.327101
522.08,0.320821
523.11,0.333895
524.13,0.339682
525.16,0.315927
526.18,0.322219
527.21,0.333435
528.24,0.338710
529.26,0.346352
530.29,0.332433
531.31,0.331357
532.34,0.341861
533.37,0.342423
534.39,0.343640
535.42,0.318780
536.44,0.338759
537.47,0.343635
538.50,0.319332
539.52,0.342310
540.55,0.339828
541.57,0.351327
542.60,0.330277
543.62,0.334334
544.65,0.348828
545.68,0.340385
546.70,0.356376
547.73,0.344158
548.75,0.335087
549.78,0.344929
550.81,0.340162
551.83,0.331591
552.86,0.358174
553.88,0.362111
554.91,0.345518
555.94,0.348234
556.96,0.348366
557.99,0.340506
559.01,0.343450
560.04,0.331864
561.06,0.334821
562.09,0.344630
563.12,0.354546
564.14,0.346466
565.17,0.331166
566.19,0.350119
567.22,0.361291
568.25,0.351627
569.27,0.346602
570.30,0.337670
571.32,0.349099
572.35,0.348757
573.38,0.341946
574.40,0.362857
575.43,0.351020
576.45,0.359918
577.48,0.355956
578.51,0.346107
579.53,0.348876
580.56,0.360955
581.58,0.350364
582.61,0.355833
583.63,0.361802
584.66,0.342562
585.69,0.358415
586.71,0.356432
587.74,0.362305
588.76,0.371598
589.79,0.343930
590.82,0.362166
591.84,0.363191
592.87,0.374265
593.89,0.368912
594.92,0.368232
595.95,0.362910
596.97,0.357386
598.00,0.355112
599.02,0.359828
600.05,0.352908
601.07,0.367820
602.10,0.354840
603.13,0.362832
604.15,0.360064
605.18,0.355474
606.20,0.366064
607.23,0.379112
608.26,0.369354
609.28,0.372985
610.31,0.372644
611.33,0.361586
612.36,0.362954
613.39,0.370989
614.41,0.378534
615.44,0.371063
616.46,0.364597
617.49,0.363650
618.51,0.377234
619.54,0.385709
620.57,0.368388
621.59,0.384060
622.62,0.394175
623.64,0.357335
624.67,0.367903
625.70,0.368030
626.72,0.376919
627.75,0.369910
628.77,0.372208
629.80,0.379035
630.83,0.377015
631.85,0.371508
632.88,0.384009
633.90,0.373650
634.93,0.370450
635.96,0.376336
636.98,0.372026
638.01,0.375938
639.03,0.377154
640.06,0.379443
641.08,0.380539
642.11,0.373456
643.14,0.379952
644.16,0.368825
645.19,0.376928
646.21,0.387063
647.24,0.368862
648.27,0.386439
649.29,0.380029
650.32,0.374645
651.34,0.393367
652.37,0.390287
653.40,0.373158
654.42,0.378991
655.45,0.384259
656.47,0.385079
657.50,0.394749
658.52,0.383183
659.55,0.382543
660.58,0.391071
661.60,0.385724
662.63,0.394022
663.65,0.390845
664.68,0.387062
665.71,0.396568
666.73,0.390902
667.76,0.381004
668.78,0.391788
669.81,0.380372
670.84,0.395998
671.86,0.388266
672.89,0.379699
673.91,0.405825
674.94,0.386452
675.96,0.383665
676.99,0.373474
678.02,0.396757
679.04,0.408676
680.07,0.400798
681.09,0.400343
682.12,0.396115
683.15,0.395381
684.17,0.393243
685.20,0.398191
686.22,0.387904
687.25,0.401994
688.28,0.403165
689.30,0.386743
690.33,0.392976
691.35,0.397042
692.38,0.402770
693.40,0.386358
694.43,0.406526
695.46,0.399013
696.48,0.403390
697.51,0.409933
698.53,0.409051
699.56,0.419074
700.59,0.404217
701.61,0.398849
702.64,0.392729
703.66,0.406157
