wavelength_nm,absorbance
400.00,0.290468
401.03,0.299180
402.05,0.290598
403.08,0.286277
404.10,0.300719
405.13,0.284289
406.16,0.295014
407.18,0.282152
408.21,0.288784
409.23,0.282941
410.26,0.291972
411.28,0.288207
412.31,0.299368
413.34,0.284940
414.36,0.286218
415.39,0.282418
416.41,0.293946
417.44,0.281441
418.47,0.309410
419.49,0.284541
420.52,0.284178
421.54,0.293351
422.57,0.289074
423.60,0.286360
424.62,0.307211
425.65,0.302079
426.67,0.299928
427.70,0.305087
428.72,0.298653
429.75,0.289813
430.78,0.301048
431.80,0.290385
432.83,0.291352
433.85,0.291267
434.88,0.295144
435.91,0.303503
436.93,0.293771
437.96,0.301097
438.98,0.304457
440.01,0.309554
441.04,0.301831
442.06,0.308445
443.09,0.292444
444.11,0.305776
445.14,0.316090
446.17,0.294333
447.19,0.302555
448.22,0.309329
449.24,0.323883
450.27,0.303165
451.29,0.298356
452.32,0.306157
453.35,0.301332
454.37,0.308038
455.40,0.295425
456.42,0.307168
457.45,0.313416
458.48,0.310971
459.50,0.321006
460.53,0.321211
461.55,0.309247
462.58,0.313980
463.61,0.324558
464.63,0.313478
465.66,0.312446
466.68,0.336698
467.71,0.323184
468.73,0.303365
469.76,0.319679
470.79,0.328246
471.81,0.312927
472.84,0.310093
473.86,0.319403
474.89,0.304202
475.92,0.309358
476.94,0.312076
477.97,0.315603
478.99,0.311903
480.02,0.317345
481.05,0.327613
482.07,0.318012
483.10,0.314487
484.12,0.310766
485.15,0.326263
486.17,0.317228
487.20,0.328434
488.23,0.329024
489.25,0.325796
490.28,0.330946
491.30,0.327678
492.33,0.311168
493.36,0.335396
494.38,0.324074
495.41,0.326281
496.43,0.315509
497.46,0.331644
498.49,0.328502
499.51,0.332024
500.54,0.333079
501.56,0.324369
502.59,0.331175
503.62,0.325165
504.64,0.339949
505.67,0.331792
506.69,0.322038
507.72,0.337348
508.74,0.318780
509.77,0.327276
510.80,0.327051
511.82,0.332708
512.85,0.334082
513.87,0.332883
514.90,0.333743
515.93,0.337715
516.95,0.342957
517.98,0.329989
519.00,0.339189
520.03,0.322593
521.06,0.336611
522.08,0.334192
523.11,0.346291
524.13,0.334761
525.16,0.352844
526.18,0.336002
527.21,0.329452
528.24,0.331488
529.26,0.330074
530.29,0.336668
531.31,0.340351
532.34,0.336588
533.37,0.333131
534.39,0.336083
535.42,0.341709
536.44,0.330396
537.47,0.338641
538.50,0.348183
539.52,0.340685
540.55,0.338210
541.57,0.340291
542.60,0.351174
543.62,0.346042
544.65,0.351258
545.68,0.340067
546.70,0.345291
547.73,0.345052
548.75,0.334913
549.78,0.345120
550.81,0.351625
551.83,0.330205
552.86,0.349728
553.88,0.353236
554.91,0.338475
555.94,0.353662
556.96,0.356477
557.99,0.359212
559.01,0.353315
560.04,0.358020
561.06,0.353470
562.09,0.349439
563.12,0.356457
564.14,0.349879
565.17,0.362190
566.19,0.348196
567.22,0.363874
568.25,0.341721
569.27,0.354901
570.30,0.348223
571.32,0.358763
572.35,0.347652
573.38,0.355612
574.40,0.363027
575.43,0.360579
576.45,0.365748
577.48,0.359825
578.51,0.356836
579.53,0.367215
580.56,0.352404
581.58,0.341504
582.61,0.355393
583.63,0.370450
584.66,0.360279
585.69,0.355659
586.71,0.374166
587.74,0.363896
588.76,0.375968
589.79,0.349522
590.82,0.369817
591.84,0.366805
592.87,0.370254
593.89,0.371020
594.92,0.359553
595.95,0.370753
596.97,0.376303
598.00,0.376254
599.02,0.382403
600.05,0.356946
601.07,0.351113
602.10,0.385809
603.13,0.365116
604.15,0.361429
605.18,0.368227
606.20,0.377210
607.23,0.376202
608.26,0.372992
609.28,0.380841
610.31,0.370063
611.33,0.372979
612.36,0.377494
613.39,0.367951
614.41,0.358567
615.44,0.378840
616.46,0.383580
617.49,0.393252
618.51,0.362444
619.54,0.373289
620.57,0.373441
621.59,0.387787
622.62,0.377935
623.64,0.372398
624.67,0.364463
625.70,0.380114
626.72,0.381875
627.75,0.363124
628.77,0.375951
629.80,0.373210
630.83,0.377944
631.85,0.378768
632.88,0.394409
633.90,0.387353
634.93,0.382298
635.96,0.375161
636.98,0.376521
638.01,0.384957
639.03,0.377929
640.06,0.381307
641.08,0.385197
642.11,0.380954
643.14,0.394909
644.16,0.383455
645.19,0.387052
646.21,0.379881
647.24,0.396377
648.27,0.390927
649.29,0.394071
650.32,0.393034
651.34,0.392981
652.37,0.397066
653.40,0.371582
654.42,0.382590
655.45,0.385521
656.47,0.399492
657.50,0.394123
658.52,0.387122
659.55,0.386600
660.58,0.402056
661.60,0.383768
662.63,0.397257
663.65,0.390184
664.68,0.402029
665.71,0.395038
666.73,0.387216
667.76,0.379759
668.78,0.392858
669.81,0.391658
670.84,0.395615
671.86,0.404846
672.89,0.397251
673.91,0.394879
674.94,0.418007
675.96,0.390605
676.99,0.403965
678.02,0.391854
679.04,0.411113
680.07,0.406474
681.09,0.405264
682.12,0.395117
683.15,0.405132
684.17,0.399831
685.20,0.401761
686.22,0.391089
687.25,0.396566
688.28,0.413477
689.30,0.402256
690.33,0.423811
691.35,0.404538
692.38,0.402828
693.40,0.406796
694.43,0.413462
695.46,0.396504
696.48,0.415334
697.51,0.401010
698.53,0.398892
699.56,0.401956
700.59,0.410836
701.61,0.407857
702.64,0.417635
703.66,0.408655
704.69,0.411796
705.72,0.404575
706.74,0.402749
707.77,0.422288
708.79,0.408999
709.82,0.431910
710.85,0.410564
711.87,0.414346
712.90,0.415974
713.92,0.418807
714.95,0.422731
715.97,0.407511
717.00,0.425324
718.03,0.419802
719.05,0.403023
720.08,0.399734
721.10,0.408349
722.13,0.411408
723.16,0.401352
724.18,0.418629
725.21,0.420913
726.23,0.417257
727.26,0.416014
728.29,0.417564
729.31,0.421094
730.34,0.419291
731.36,0.422853
732.39,0.425734
733.41,0.421667
734.44,0.413489
735.47,0.422834
736.49,0.420931
737.52,0.418326
738.54,0.428512
739.57,0.424461
740.60,0.413095
741.62,0.429019
742.65,0.431939
743.67,0.422800
744.70,0.424953
745.73,0.425620
746.75,0.431128
747.78,0.420471
748.80,0.428357
749.83,0.415921
750.85,0.434068
751.88,0.419845
752.91,0.433308
753.93,0.435812
754.96,0.423605
755.98,0.424716
757.01,0.415723
758.04,0.422247
759.06,0.429059
760.09,0.424777
761.11,0.424750
762.14,0.430230
763.17,0.444823
764.19,0.432523
765.22,0.444382
766.24,0.437759
767.27,0.429869
768.30,0.444325
769.32,0.425374
770.35,0.427414
771.37,0.402087
772.40,0.424899
773.42,0.433090
774.45,0.437057
775.48,0.428396
776.50,0.424411
777.53,0.438335
778.55,0.432082
779.58,0.452832
780.61,0.440392
781.63,0.440735
782.66,0.447576
783.68,0.449204
784.71,0.433292
785.74,0.439004
786.76,0.446895
787.79,0.437648
788.81,0.428297
789.84,0.451311
790.86,0.454605
791.89,0.431701
792.92,0.443424
793.94,0.448019
794.97,0.433345
795.99,0.448291
797.02,0.437214
798.05,0.441862
799.07,0.444627
800.10,0.453439
801.12,0.425634
802.15,0.449551
803.18,0.450709
804.20,0.449831
805.23,0.454861
806.25,0.442707
807.28,0.455646
808.30,0.458838
809.33,0.446559
810.36,0.468489
811.38,0.449316
812.41,0.454134
813.43,0.457702
814.46,0.457422
815.49,0.455351
816.51,0.444237
817.54,0.464382
818.56,0.451643
819.59,0.450199
820.62,0.459748
821.64,0.446792
822.67,0.453016
823.69,0.450900
824.72,0.462275
825.74,0.463362
826.77,0.462562
827.80,0.448853
828.82,0.461746
829.85,0.463823
830.87,0.440399
831.90,0.443941
832.93,0.451626
833.95,0.465508
834.98,0.459026
836.00,0.460020
837.03,0.463617
838.06,0.458437
839.08,0.458860
840.11,0.443479
841.13,0.461709
842.16,0.465714
843.19,0.470479
844.21,0.441011
845.24,0.454425
846.26,0.454471
847.29,0.457451
848.31,0.471850
849.34,0.467305
850.37,0.465098
851.39,0.460004
852.42,0.464732
853.44,0.453268
854.47,0.466454
855.50,0.466890
856.52,0.462432
857.55,0.478955
858.57,0.454538
859.60,0.472527
860.63,0.454779
861.65,0.468643
862.68,0.464257
863.70,0.468257
864.73,0.466403
865.75,0.483263
866.78,0.473138
867.81,0.477247
868.83,0.469230
869.86,0.464628
870.88,0.475898
871.91,0.481950
872.94,0.490081
873.96,0.474378
874.99,0.478610
876.01,0.475652
877.04,0.471738
878.07,0.474899
879.09,0.486375
880.12,0.457130
881.14,0.486805
882.17,0.466277
883.19,0.483141
884.22,0.476403
885.25,0.482809
886.27,0.474116
887.30,0.482019
888.32,0.476174
889.35,0.496657
890.38,0.480042
891.40,0.482398
892.43,0.477664
893.45,0.476855
894.48,0.486903
895.51,0.472633
896.53,0.476065
897.56,0.474310
898.58,0.492858
899.61,0.486655
900.64,0.496800
901.66,0.485932
902.69,0.490726
903.71,0.486129
904.74,0.495296
905.76,0.487518
906.79,0.491131
907.82,0.484499
908.84,0.491602
909.87,0.481572
910.89,0.504800
911.92,0.478256
912.95,0.492832
913.97,0.497595
915.00,0.496942
916.02,0.494857
917.05,0.483330
918.08,0.489508
919.10,0.481743
920.13,0.495980
921.15,0.488760
922.18,0.474991
923.20,0.500749
924.23,0.503499
925.26,0.487099
926.28,0.497198
927.31,0.498036
928.33,0.488397
929.36,0.495940
930.39,0.493454
931.41,0.492700
932.44,0.505706
933.46,0.501047
934.49,0.497496
935.52,0.507635
936.54,0.491943
937.57,0.515884
938.59,0.513725
939.62,0.506799
940.64,0.510344
941.67,0.492986
942.70,0.510254
943.72,0.501683
944.75,0.506369
945.77,0.504334
946.80,0.512768
947.83,0.516206
948.85,0.501708
949.88,0.496992
950.90,0.513420
951.93,0.514568
952.96,0.509328
953.98,0.497886
955.01,0.501507
956.03,0.500359
957.06,0.502079
958.09,0.512777
959.11,0.502024
960.14,0.520475
961.16,0.513894
962.19,0.504246
963.21,0.510986
964.24,0.496042
965.27,0.509294
966.29,0.502520
967.32,0.523571
968.34,0.511170
969.37,0.518540
970.40,0.522610
971.42,0.516425
972.45,0.515817
973.47,0.518086
974.50,0.523840
975.53,0.510174
976.55,0.520081
977.58,0.523752
978.60,0.506230
979.63,0.518727
980.65,0.520706
981.68,0.516780
982.71,0.532733
983.73,0.509555
984.76,0.537959
985.78,0.518096
986.81,0.519350
987.84,0.534164
988.86,0.535956
989.89,0.537259
990.91,0.508482
991.94,0.517490
992.97,0.523337
993.99,0.514620
995.02,0.527053
996.04,0.534767
997.07,0.515702
998.09,0.533888
999.12,0.531967
1000.15,0.517750
1001.17,0.521611
1002.20,0.537020
1003.22,0.536993
1004.25,0.535255
1005.28,0.530424
1006.30,0.541270
1007.33,0.525985
1008.35,0.530585
1009.38,0.524910
1010.41,0.517979
1011.43,0.525672
1012.46,0.527934
1013.48,0.524324
1014.51,0.548105
1015.53,0.534073
1016.56,0.529356
1017.59,0.520133
1018.61,0.531677
1019.64,0.518144
1020.66,0.533932
1021.69,0.527112
1022.72,0.536634
1023.74,0.528407
1024.77,0.538072
1025.79,0.547167
1026.82,0.548132
1027.85,0.550835
1028.87,0.537913
1029.90,0.539641
1030.92,0.538447
